first_name,last_name,state,party,assumed_office,birthday,gender,govtrack_id,bioguide_id,thomas_id,opensecrets_id,lis_id
Lisa,Murkowski,AK,Republican,12/20/02,5/22/57,F,300075,M001153,1694,N00026050,S288
Dan,Sullivan,AK,Republican,1/3/15,11/13/64,M,412665,S001198,2290,N00035774,S383
Jefferson,Sessions,AL,Republican,1/3/97,12/24/46,M,300088,S001141,1548,N00003062,S261
Richard,Shelby,AL,Republican,1/3/87,5/6/34,M,300089,S000320,1049,N00009920,S184
John,Boozman,AR,Republican,1/3/11,12/10/50,M,400040,B001236,1687,N00013873,S343
Tom,Cotton,AR,Republican,1/3/15,5/13/77,M,412508,C001095,2098,N00033363,S374
Jeff,Flake,AZ,Republican,1/3/13,12/31/62,M,400134,F000444,1633,N00009573,S358
John,McCain,AZ,Republican,1/3/87,8/29/36,M,300071,M000303,754,N00006424,S197
Dianne,Feinstein,CA,Democrat,6/22/33,6/22/33,F,300043,F000062,1332,N00007364,S221
Barbara,Boxer,CA,Democrat,11/11/40,11/11/40,F,300011,B000711,116,N00006692,S223
Michael,Bennet,CO,Democrat,11/28/64,11/28/64,M,412330,B001267,1965,N00030608,S330
Cory,Gardner,CO,Republican,8/22/74,8/22/74,M,412406,G000562,1998,N00030780,S377
Richard,Blumenthal,CT,Democrat,2/13/46,2/13/46,M,412490,B001277,2076,N00031685,S341
Christopher,Murphy,CT,Democrat,8/3/73,8/3/73,M,412194,M001169,1837,N00027566,S364
Thomas,Carper,DE,Democrat,1/23/47,1/23/47,M,300019,C000174,179,N00012508,S277
Chris,Coons,DE,Democrat,9/9/63,9/9/63,M,412390,C001088,1984,N00031820,S337
Bill,Nelson,FL,Democrat,9/29/42,9/29/42,M,300078,N000032,859,N00009926,S282
Marco,Rubio,FL,Republican,5/28/71,5/28/71,M,412491,R000595,2084,N00030612,S350
John,Isakson,GA,Republican,12/28/44,12/28/44,M,400194,I000055,1608,N00002593,S305
David,Perdue,GA,Republican,12/10/49,12/10/49,M,412666,P000612,2286,N00035516,S379
Mazie,Hirono,HI,Democrat,11/3/47,11/3/47,F,412200,H001042,1844,N00028139,S361
Brian,Schatz,HI,Democrat,10/20/72,10/20/72,M,412507,S001194,2173,N00028138,S353
Charles,Grassley,IA,Republican,9/17/33,9/17/33,M,300048,G000386,457,N00001758,S153
Joni,Ernst,IA,Republican,7/1/70,7/1/70,F,412667,E000295,2283,N00035483,S376
James,Risch,ID,Republican,5/3/43,5/3/43,M,412322,R000584,1896,N00029441,S323
Michael,Crapo,ID,Republican,5/20/51,5/20/51,M,300030,C000880,250,N00006267,S266
Richard,Durbin,IL,Democrat,11/21/44,11/21/44,M,300038,D000563,326,N00004981,S253
Mark,Kirk,IL,Republican,9/15/59,9/15/59,M,400222,K000360,1647,N00012539,S339
Daniel,Coats,IN,Republican,5/16/43,5/16/43,M,402675,C000542,209,N00003845,S212
Joe,Donnelly,IN,Democrat,9/28/55,9/28/55,M,412205,D000607,1850,N00026586,S356
Pat,Roberts,KS,Republican,4/20/36,4/20/36,M,300083,R000307,968,N00005285,S260
Jerry,Moran,KS,Republican,5/29/54,5/29/54,M,400284,M000934,1507,N00005282,S347
Mitch,McConnell,KY,Republican,2/20/42,2/20/42,M,300072,M000355,1395,N00003389,S174
Rand,Paul,KY,Republican,1/7/63,1/7/63,M,412492,P000603,2082,N00030836,S348
Bill,Cassidy,LA,Republican,9/28/57,9/28/57,M,412269,C001075,1925,N00030245,S373
David,Vitter,LA,Republican,5/3/61,5/3/61,M,400418,V000127,1609,N00009659,S299
Edward,Markey,MA,Democrat,7/11/46,7/11/46,M,400253,M000133,735,N00000270,S369
Elizabeth,Warren,MA,Democrat,6/22/49,6/22/49,F,412542,W000817,2182,N00033492,S366
Benjamin,Cardin,MD,Democrat,10/5/43,10/5/43,M,400064,C000141,174,N00001955,S308
Barbara,Mikulski,MD,Democrat,7/20/36,7/20/36,F,300073,M000702,802,N00001945,S182
Susan,Collins,ME,Republican,12/7/52,12/7/52,F,300025,C001035,1541,N00000491,S252
Angus,King,ME,Independent,3/31/44,3/31/44,M,412545,K000383,2185,N00034580,S363
Debbie,Stabenow,MI,Democrat,4/29/50,4/29/50,F,300093,S000770,1531,N00004118,S284
Gary,Peters,MI,Democrat,12/1/58,12/1/58,M,412305,P000595,1929,N00029277,S380
Amy,Klobuchar,MN,Democrat,5/25/60,5/25/60,F,412242,K000367,1826,N00027500,S311
Alan,Franken,MN,Democrat,5/21/51,5/21/51,M,412378,F000457,1969,N00029016,S332
Claire,McCaskill,MO,Democrat,7/24/53,7/24/53,F,412243,M001170,1820,N00027694,S312
Roy,Blunt,MO,Republican,1/10/50,1/10/50,M,400034,B000575,1464,N00005195,S342
Roger,Wicker,MS,Republican,7/5/51,7/5/51,M,400432,W000437,1226,N00003280,S318
Thad,Cochran,MS,Republican,12/7/37,12/7/37,M,300023,C000567,213,N00003328,S136
Jon,Tester,MT,Democrat,8/21/56,8/21/56,M,412244,T000464,1829,N00027605,S314
Steve,Daines,MT,Republican,8/20/62,8/20/62,M,412549,D000618,2138,N00033054,S375
Richard,Burr,NC,Republican,11/30/55,11/30/55,M,400054,B001135,153,N00002221,S300
Thom,Tillis,NC,Republican,8/30/60,8/30/60,M,412668,T000476,2291,N00035492,S384
John,Hoeven,ND,Republican,3/13/57,3/13/57,M,412494,H001061,2079,N00031688,S344
Heidi,Heitkamp,ND,Democrat,10/30/55,10/30/55,F,412554,H001069,2174,N00033782,S360
Deb,Fischer,NE,Republican,3/1/51,3/1/51,F,412556,F000463,2179,N00033443,S357
Benjamin,Sasse,NE,Republican,2/22/72,2/22/72,M,412671,S001197,2289,N00035544,S382
Jeanne,Shaheen,NH,Democrat,1/28/47,1/28/47,F,412323,S001181,1901,N00024790,S324
Kelly,Ayotte,NH,Republican,6/27/68,6/27/68,F,412493,A000368,2075,N00030980,S340
Robert,Menթndez,NJ,Democrat,1/1/54,1/1/54,M,400272,M000639,791,N00000699,S306
Cory,Booker,NJ,Democrat,4/27/69,4/27/69,M,412598,B001288,2194,N00035267,S370
Tom,Udall,NM,Democrat,5/18/48,5/18/48,M,400413,U000039,1567,N00006561,S326
Martin,Heinrich,NM,Democrat,10/17/71,10/17/71,M,412281,H001046,1937,N00029835,S359
Harry,Reid,NV,Democrat,12/2/39,12/2/39,M,300082,R000146,952,N00009922,S198
Dean,Heller,NV,Republican,5/10/60,5/10/60,M,412218,H001041,1863,N00027522,S352
Kirsten,Gillibrand,NY,Democrat,12/9/66,12/9/66,F,412223,G000555,1866,N00027658,S331
Charles,Schumer,NY,Democrat,11/23/50,11/23/50,M,300087,S000148,1036,N00001093,S270
Sherrod,Brown,OH,Democrat,11/9/52,11/9/52,M,400050,B000944,136,N00003535,S307
Robert,Portman,OH,Republican,12/19/55,12/19/55,M,400325,P000449,924,N00003682,S349
James,Inhofe,OK,Republican,11/17/34,11/17/34,M,300055,I000024,583,N00005582,S236
James,Lankford,OK,Republican,3/4/68,3/4/68,M,412464,L000575,2050,N00031129,S378
Jeff,Merkley,OR,Democrat,10/24/56,10/24/56,M,412325,M001176,1900,N00029303,S322
Ron,Wyden,OR,Democrat,5/3/49,5/3/49,M,300100,W000779,1247,N00007724,S247
Robert,Casey,PA,Democrat,4/13/60,4/13/60,M,412246,C001070,1828,N00027503,S309
Patrick,Toomey,PA,Republican,11/17/61,11/17/61,M,400408,T000461,2085,N00001489,S351
Sheldon,Whitehouse,RI,Democrat,10/20/55,10/20/55,M,412247,W000802,1823,N00027533,S316
John,Reed,RI,Democrat,11/12/49,11/12/49,M,300081,R000122,949,N00000362,S259
Lindsey,Graham,SC,Republican,7/9/55,7/9/55,M,300047,G000359,452,N00009975,S293
Tim,Scott,SC,Republican,9/19/65,9/19/65,M,412471,S001184,2056,N00031782,S365
John,Thune,SD,Republican,1/7/61,1/7/61,M,400546,T000250,1534,N00004572,S303
Mike,Rounds,SD,Republican,10/24/54,10/24/54,M,412669,R000605,2288,N00035187,S381
Bob,Corker,TN,Republican,8/24/52,8/24/52,M,412248,C001071,1825,N00027441,S310
Lamar,Alexander,TN,Republican,7/3/40,7/3/40,M,300002,A000360,1695,N00009888,S289
John,Cornyn,TX,Republican,2/2/52,2/2/52,M,300027,C001056,1692,N00024852,S287
Ted,Cruz,TX,Republican,12/22/70,12/22/70,M,412573,C001098,2175,N00033085,S355
Orrin,Hatch,UT,Republican,3/22/34,3/22/34,M,300052,H000338,1351,N00009869,S118
