id	Subject	Subcategory
5816	Agriculture and Food	(top)
5817	Agriculture and Food	Agricultural conservation and pollution
5818	Agriculture and Food	Agricultural education
5819	Agriculture and Food	Agricultural equipment and machinery
5820	Agriculture and Food	Agricultural insurance
5821	Agriculture and Food	Agricultural marketing and promotion
5823	Agriculture and Food	Agricultural practices and innovations
5824	Agriculture and Food	"Agricultural prices, subsidies, credit"
5825	Agriculture and Food	Agricultural research
5826	Agriculture and Food	Agricultural trade
5827	Agriculture and Food	Alcoholic beverages
5828	Agriculture and Food	Animal and plant health
5829	Agriculture and Food	Aquaculture
5830	Agriculture and Food	Farmland
5831	Agriculture and Food	Food industry and services
5832	Agriculture and Food	Food assistance and relief
5833	Agriculture and Food	"Food supply, safety, and labeling"
5834	Agriculture and Food	Fruit and vegetables
5835	Agriculture and Food	General agriculture matters
5836	Agriculture and Food	Grain
5837	Agriculture and Food	Horticulture and plants
5838	Agriculture and Food	Meat
5839	Agriculture and Food	Seafood
5840	Animals	(top)
5841	Animals	Animal protection and human-animal relationships
5842	Animals	Birds
5843	Animals	Endangered and threatened species
5844	Animals	Fishes
5845	Animals	Hunting and fishing
5846	Animals	Insects
5847	Animals	Livestock
5848	Animals	Mammals
5849	Animals	Reptiles
5850	Animals	Veterinary medicine and animal diseases
5851	Animals	Wildlife conservation and habitat protection
6837	Animals	Service animals
5852	Armed Forces and National Security	(top)
5853	Armed Forces and National Security	Alliances
5854	Armed Forces and National Security	Chemical and biological weapons
5855	Armed Forces and National Security	Defense spending
5856	Armed Forces and National Security	"Intelligence activities, surveillance, classified information"
5857	Armed Forces and National Security	"Military assistance, sales, and agreements"
5859	Armed Forces and National Security	Military civil functions
5860	Armed Forces and National Security	Military command and structure
5861	Armed Forces and National Security	Military education and training
5862	Armed Forces and National Security	Military facilities and property
5863	Armed Forces and National Security	Military history
5864	Armed Forces and National Security	Military law
5865	Armed Forces and National Security	Military medicine
5866	Armed Forces and National Security	Military operations and strategy
5867	Armed Forces and National Security	Military personnel and dependents
5868	Armed Forces and National Security	"Military procurement, research, weapons development"
5869	Armed Forces and National Security	Military readiness
5870	Armed Forces and National Security	National Guard and reserves
5871	Armed Forces and National Security	Nuclear weapons
5872	Armed Forces and National Security	Strategic materials and reserves
5873	Armed Forces and National Security	Subversive activities
5874	Armed Forces and National Security	Veterans' medical care
5875	Armed Forces and National Security	"Veterans' education, employment, rehabilitation"
5876	Armed Forces and National Security	"Veterans' loans, housing, homeless programs"
5877	Armed Forces and National Security	Veterans' organizations and recognition
5878	Armed Forces and National Security	Veterans' pensions and compensation
5879	Armed Forces and National Security	War and emergency powers
5880	"Arts, Culture, Religion"	(top)
5881	"Arts, Culture, Religion"	"Art, artists, authorship"
5882	"Arts, Culture, Religion"	Books and print media
5883	"Arts, Culture, Religion"	Cultural exchanges and relations
5884	"Arts, Culture, Religion"	Digital media
5885	"Arts, Culture, Religion"	Historical and cultural resources
5886	"Arts, Culture, Religion"	Humanities programs funding
5888	"Arts, Culture, Religion"	Libraries and archives
5889	"Arts, Culture, Religion"	Literature
5890	"Arts, Culture, Religion"	"Museums, exhibitions, cultural centers"
5891	"Arts, Culture, Religion"	Music
5892	"Arts, Culture, Religion"	Performing arts
5893	"Arts, Culture, Religion"	Religion
5894	"Arts, Culture, Religion"	Sound recording
5895	"Arts, Culture, Religion"	Television and film
5896	"Civil Rights and Liberties, Minority Issues"	(top)
5897	"Civil Rights and Liberties, Minority Issues"	Abortion
5898	"Civil Rights and Liberties, Minority Issues"	Age discrimination
5899	"Civil Rights and Liberties, Minority Issues"	Detention of persons
5900	"Civil Rights and Liberties, Minority Issues"	Disability and health-based discrimination
5901	"Civil Rights and Liberties, Minority Issues"	Due process and equal protection
5903	"Civil Rights and Liberties, Minority Issues"	Ethnic studies
5904	"Civil Rights and Liberties, Minority Issues"	First Amendment rights
5905	"Civil Rights and Liberties, Minority Issues"	Freedom of information
5906	"Civil Rights and Liberties, Minority Issues"	Pornography
5907	"Civil Rights and Liberties, Minority Issues"	Property rights
5908	"Civil Rights and Liberties, Minority Issues"	Protest and dissent
5909	"Civil Rights and Liberties, Minority Issues"	Racial and ethnic relations
5910	"Civil Rights and Liberties, Minority Issues"	Right of privacy
5911	"Civil Rights and Liberties, Minority Issues"	"Sex, gender, sexual orientation discrimination"
5912	"Civil Rights and Liberties, Minority Issues"	Voting rights
5913	"Civil Rights and Liberties, Minority Issues"	Women's rights
5914	Commerce	(top)
