DonorOrganization	RecipientCandidateNameNormalized	RecipientCandidateParty	RecipientCandidateStatus	total
1st National Bank	Daniel R Coats	Republican	No Status	2400
1st National Bank	Jerry Moran	Republican	No Status	250
1st National Bank	Jerry Moran	Republican	Not Yet A Statutory Candidate	5750
1st National Bank	Jerry Moran	\N	\N	1000
1st National Bank	John Hoeven	Republican	No Status	2400
1st National Bank	Pat Roberts	Republican	Won	250
1st National Bank & Trust Co	James Inhofe	Republican	Won	1000
1st National Bank Of Omaha	Debra S Fischer	Republican	Won	500
1st. National Community Bank	Ronald Harold Johnson	Republican	No Status	200
80-20 NATIONAL ASIAN AMERICAN PAC	Barbara Boxer	Democratic	Won	1000
80-20 NATIONAL ASIAN AMERICAN PAC	Charles Schumer	Democratic	No Status	2000
80-20 NATIONAL ASIAN AMERICAN PAC	Christopher A Coons	Democratic	No Status	250
80-20 NATIONAL ASIAN AMERICAN PAC	Christopher A Coons	\N	\N	1000
80-20 NATIONAL ASIAN AMERICAN PAC	Thomas Carper	Democratic	Won	1500
A To Z Nutrition International	Lindsey Graham	\N	\N	1000
A.v. International	Mitch Mcconnell	\N	\N	5000
ACA International	Amy Klobuchar	\N	\N	1000
ACA International	Arlen Specter	Republican	No Status	5000
ACA International	Charles Grassley	Republican	No Status	9500
ACA International	Christopher Dodd	Democratic	No Status	1000
ACA International	Daniel R Coats	Republican	No Status	2000
ACA International	David Vitter	Republican	No Status	2500
ACA International	Dean Heller	Republican	Won	10000
ACA International	Debbie Ann Stabenow	\N	\N	1000
ACA International	Debra S Fischer	Republican	Won	2500
ACA International	Jerry Moran	Republican	No Status	1000
ACA International	Jim Demint	Republican	No Status	5000
ACA International	John Cornyn	\N	\N	2500
ACA International	John Hoeven	Republican	No Status	1000
ACA International	John Thune	Republican	No Status	10000
ACA International	John Thune	\N	\N	1000
ACA International	Joni K Ernst	Republican	Won	2500
ACA International	Kenneth R Buck	Republican	Withdrew	2500
ACA International	Marion Michael Rounds	Republican	Won	2500
ACA International	Mark Kirk	Republican	No Status	7000
ACA International	Michael Crapo	\N	\N	2000
ACA International	Mitch Mcconnell	Republican	Won	5000
ACA International	Patrick Joseph Toomey	\N	\N	2000
ACA International	Rafael Edward Ted Cruz	Republican	Won	2500
ACA International	Richard Shelby	Republican	No Status	10000
ACA International	Richard Shelby	\N	\N	-3000
ACA International	Rob Portman	Republican	No Status	7500
ACA International	Rob Portman	\N	\N	-2500
ACA International	Robert Andrews	\N	\N	6250
ACA International	Ronald Harold Johnson	Republican	No Status	10000
ACA International	Roy Blunt	Republican	No Status	6500
ACA International	Roy Blunt	\N	\N	3000
ACA International	Shelley Capito	Republican	Won	5000
ACA International	Thomas Coburn	Republican	No Status	10000
ACA International	Tim Johnson	\N	\N	1000
