first_name,last_name,state,party,assumed_office,birthday,gender,govtrack_id,bioguide_id,thomas_id,opensecrets_id,lis_id,name,now,day_in_office,term_year
Lisa,Murkowski,AK,Republican,12/20/02,5/22/57,F,300075,M001153,1694,N00026050,S288,Lisa Murkowski,12/1/15 0:00,4729,12.94729637
Dan,Sullivan,AK,Republican,1/3/15,11/13/64,M,412665,S001198,2290,N00035774,S383,Dan Sullivan,12/2/15 0:00,333,0.911704312
Jefferson,Sessions,AL,Republican,1/3/97,12/24/46,M,300088,S001141,1548,N00003062,S261,Jefferson Sessions,12/3/15 0:00,6908,18.91307324
Richard,Shelby,AL,Republican,1/3/87,5/6/34,M,300089,S000320,1049,N00009920,S184,Richard Shelby,12/4/15 0:00,10562,28.91718001
John,Boozman,AR,Republican,1/3/11,12/10/50,M,400040,B001236,1687,N00013873,S343,John Boozman,12/5/15 0:00,1797,4.919917864
Tom,Cotton,AR,Republican,1/3/15,5/13/77,M,412508,C001095,2098,N00033363,S374,Tom Cotton,12/6/15 0:00,337,0.922655715
Jeff,Flake,AZ,Republican,1/3/13,12/31/62,M,400134,F000444,1633,N00009573,S358,Jeff Flake,12/7/15 0:00,1068,2.924024641
John,McCain,AZ,Republican,1/3/87,8/29/36,M,300071,M000303,754,N00006424,S197,John McCain,12/8/15 0:00,10566,28.92813142
Dianne,Feinstein,CA,Democrat,11/10/92,6/22/33,F,300043,F000062,1332,N00007364,S221,Dianne Feinstein,12/9/15 0:00,8429,23.07734428
Barbara,Boxer,CA,Democrat,1/3/93,11/11/40,F,300011,B000711,116,N00006692,S223,Barbara Boxer,12/10/15 0:00,8376,22.93223819
Michael,Bennet,CO,Democrat,1/21/09,11/28/64,M,412330,B001267,1965,N00030608,S330,Michael Bennet,12/11/15 0:00,2515,6.88569473
Cory,Gardner,CO,Republican,1/3/15,8/22/74,M,412406,G000562,1998,N00030780,S377,Cory Gardner,12/12/15 0:00,343,0.93908282
Richard,Blumenthal,CT,Democrat,1/5/11,2/13/46,M,412490,B001277,2076,N00031685,S341,Richard Blumenthal,12/13/15 0:00,1803,4.936344969
Christopher,Murphy,CT,Democrat,1/3/13,8/3/73,M,412194,M001169,1837,N00027566,S364,Christopher Murphy,12/14/15 0:00,1075,2.943189596
Thomas,Carper,DE,Democrat,1/3/01,1/23/47,M,300019,C000174,179,N00012508,S277,Thomas Carper,12/15/15 0:00,5459,14.94592745
Chris,Coons,DE,Democrat,11/15/10,9/9/63,M,412390,C001088,1984,N00031820,S337,Chris Coons,12/16/15 0:00,1857,5.084188912
Bill,Nelson,FL,Democrat,1/3/01,9/29/42,M,300078,N000032,859,N00009926,S282,Bill Nelson,12/17/15 0:00,5461,14.95140315
Marco,Rubio,FL,Republican,1/3/11,5/28/71,M,412491,R000595,2084,N00030612,S350,Marco Rubio,12/18/15 0:00,1810,4.955509925
John,Isakson,GA,Republican,1/3/05,12/28/44,M,400194,I000055,1608,N00002593,S305,John Isakson,12/19/15 0:00,4002,10.95687885
David,Perdue,GA,Republican,1/3/15,12/10/49,M,412666,P000612,2286,N00035516,S379,David Perdue,12/20/15 0:00,351,0.960985626
Mazie,Hirono,HI,Democrat,1/3/13,11/3/47,F,412200,H001042,1844,N00028139,S361,Mazie Hirono,12/21/15 0:00,1082,2.962354552
Brian,Schatz,HI,Democrat,12/26/12,10/20/72,M,412507,S001194,2173,N00028138,S353,Brian Schatz,12/22/15 0:00,1091,2.986995209
Charles,Grassley,IA,Republican,1/3/81,9/17/33,M,300048,G000386,457,N00001758,S153,Charles Grassley,12/23/15 0:00,12772,34.96783025
Joni,Ernst,IA,Republican,1/3/15,7/1/70,F,412667,E000295,2283,N00035483,S376,Joni Ernst,12/24/15 0:00,355,0.971937029
James,Risch,ID,Republican,1/3/09,5/3/43,M,412322,R000584,1896,N00029441,S323,James Risch,12/25/15 0:00,2547,6.973305955
Michael,Crapo,ID,Republican,1/3/99,5/20/51,M,300030,C000880,250,N00006267,S266,Michael Crapo,12/26/15 0:00,6201,16.97741273
Richard,Durbin,IL,Democrat,1/3/97,11/21/44,M,300038,D000563,326,N00004981,S253,Richard Durbin,12/27/15 0:00,6932,18.97878166
Mark,Kirk,IL,Republican,11/29/10,9/15/59,M,400222,K000360,1647,N00012539,S339,Mark Kirk,12/28/15 0:00,1855,5.07871321
Daniel,Coats,IN,Republican,1/3/11,5/16/43,M,402675,C000542,209,N00003845,S212,Daniel Coats,12/29/15 0:00,1821,4.985626283
