DonorOrganization,RecipientCandidateNameNormalized,RecipientCandidateParty,DonorEntityType,total,,govtrack_id,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Al Franken,Democrat-Farm-Labor,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Amy Klobuchar,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Benjamin Cardin,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Bernard Sanders,Independent,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Brad Ellsworth,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Charles Schumer,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Christopher A Coons,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Christopher Murphy,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Claire Mccaskill,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Debbie Ann Stabenow,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Elizabeth Warren,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Gary Peters,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Harry Reid,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Jeanne Shaheen,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Jeffrey Alan Merkley,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Joe Donnelly,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Joe Manchin Iii,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Kendrick Meek,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Kirsten Gillibrand,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Martin Heinrich,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Michael F Bennet,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Patty Murray,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Paul Hodes,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Robert Casey,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Sherrod Brown,\N,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Tammy Baldwin,Democratic,0,
Bakery, Confectionery, Tobacco Workers, and Grain Millers International Union,Timothy Michael Kaine,Democratic,0,
Construction Services International, I,Patrick Joseph Toomey,Republican,Individual,600,0,
All-ways Forwarding International, Inc,Robert Menニ_ndez,Democratic,Individual,1000,0,
Creative Associates International, Inc,Richard Blumenthal,Democratic,Individual,2000,0,
Advanced Solutions International, Inc.,Jon Tester,Democratic,Individual,500,0,
Advanced Solutions International, Inc.,Timothy Michael Kaine,Democratic,Individual,550,0,
Aerolease International, Inc.,Michael F Bennet,Democratic,Individual,1000,0,
Albertson International, Inc.,Angus Stanley King Jr,Independent,Individual,1000,0,
Alem International Management, Inc.,Michael F Bennet,Democratic,Individual,1000,0,
Amex International, Inc.,Paul Hodes,Democratic,Individual,250,0,
Amzi International, Inc.,Bill Nelson,Democratic,Individual,300,0,
Andrews International, Inc.,Charles Schumer,Democratic,Individual,1200,0,
Arrow International, Inc.,Arlen Specter,Republican,Individual,500,0,
Ars National Services, Inc.,Lindsey Graham,Republican,Individual,500,0,
Ashnu International, Inc.,Robert Menニ_ndez,Democratic,Individual,300,0,
Associates International, Inc.,David Vitter,Republican,Individual,2400,0,
Associates International, Inc.,Jeff Flake,Republican,Individual,3000,0,
Associates International, Inc.,Michael Castle,Republican,Individual,4800,0,
Associates International, Inc.,Rafael Edward Ted Cruz,Republican,Individual,2500,0,
Av International, Inc.,Mark Robert Warner,Democratic,Individual,2600,0,
Av International, Inc.,Robert Casey,Democratic,Individual,2500,0,
Bekmez International, Inc.,Cory A Booker,Democratic,Individual,2000,0,
Blount International, Inc.,Ron Wyden,Democratic,Individual,5400,0,
Blue Beacon International, Inc.,Pat Roberts,\N,Individual,2000,0,
Brookside International, Inc.,Cory A Booker,Democratic,Individual,1000,0,
Ca Botana International, Inc.,Marco Rubio,Republican,Individual,250,0,
Caci International, Inc.,Mark Robert Warner,Democratic,Individual,1000,0,
Cap Pac - Separate Segregated Fund Of National Community Action Foundation, Inc.,Tom Udall,Democratic,Unknown,333,0,
Cap-pac Separate Segregated Fund Of National Community Action Foundation, Inc.,Jeanne Shaheen,Democratic,Unknown,1000,0,
Capital International, Inc.,Bob Corker,Republican,Individual,2500,0,
Capital International, Inc.,Christopher A Coons,Democratic,Individual,5200,0,
Central Transport International, Inc.,Harry Reid,Democratic,Individual,2400,0,
Cevasco International, Inc.,Mark Robert Warner,Democratic,Individual,1000,0,
Cgl International, Inc.,Sherrod Brown,Democratic,Individual,250,0,
Chemlube International, Inc.,Elizabeth Warren,Democratic,Individual,500,0,
Chemlube International, Inc.,Jeanne Shaheen,Democratic,Individual,500,0,
Chemlube International, Inc.,Joe Sestak,Democratic,Individual,250,0,
Choice Hotels International, Inc.,Chris Van Hollen,Democratic,Individual,5400,0,
Choice Hotels International, Inc.,Timothy Michael Kaine,Democratic,Individual,2500,0,
Coats Aloe International, Inc.,Orrin Hatch,\N,Individual,1000,0,
Cobalt International Energy, Inc.,Benjamin E Sasse,Republican,Individual,1000,0,
Cobalt International Engery, Inc.,Rafael Edward Ted Cruz,Republican,Individual,500,0,
Danya International, Inc.,Chris Van Hollen,Democratic,Individual,1250,0,
ALLIANCE ONE INTERNATIONAL, INC. PAC,Kay R Hagan,\N,,2000,0,
ALLIANCE ONE INTERNATIONAL, INC. PAC,Richard Burr,Republican,,4000,0,
Access International Capital, Llc,Dan Winslow,Republican,Individual,250,0,
Align International, Llc,Kirsten Gillibrand,\N,Individual,1000,0,
Axiom International Investors, Llc,Marion Michael Rounds,Republican,Individual,5200,0,
Carecore National, Llc,Thomas Carper,Democratic,Individual,500,0,
Chempak International, Llc,Dan Sullivan,Republican,Individual,5200,0,
Chempak International, Llc,Rob Portman,\N,Individual,250,0,
Children's International, Llc,Debra S Fischer,Republican,Individual,505,0,
Children's International, Llc,Jeff Flake,Republican,Individual,650,0,
Children's International, Llc,Rafael Edward Ted Cruz,Republican,Individual,1200,0,
Crompion International, Llc,William Cassidy,Republican,Individual,5200,0,
C & M International, Ltd,Rob Portman,\N,Individual,250,0,
Brokers International, Ltd.,Charles Grassley,Republican,Individual,1000,0,
C & M International, Ltd.,Rob Portman,\N,Individual,250,0,
Alliant International University,Al Franken,\N,Individual,1000,,412378,
Argonne National Laboratory,Al Franken,Democrat-Farm-Labor,Individual,250,,412378,
Berner International Corp,Al Franken,Democrat-Farm-Labor,Individual,2500,,412378,
Camris International,Al Franken,\N,Individual,2000,,412378,
Collectral International,Al Franken,Democrat-Farm-Labor,Individual,200,,412378,
Credit Union National Association,Al Franken,Democrat-Farm-Labor,,10000,,412378,
DORSEY NATIONAL FUND,Al Franken,\N,,7600,,412378,
ACA International,Amy Klobuchar,\N,,1000,,412242,
