RecipientCandidateNameNormalized,party,bioguide_id,fec_id,govtrack_id,total
Tom Udall,Democrat,U000039,S8NM00184,400413,6386672
Timothy Scott,Republican,S001184,S4SC00240,412471,7988184
Timothy Michael Kaine,Democrat,K000384,S2VA00142,412582,15354743
Thomas Carper,Democrat,C000174,S8DE00079,300019,4853461
Thom R Tillis,Republican,T000476,S4NC00162,412668,9678533
Thad Cochran,Republican,C000567,S8MS00055,300023,6487154
Tammy Baldwin,Democrat,B001230,S2WI00219,400013,8317827
Susan Collins,Republican,C001035,S6ME00159,300025,6072071
Steven Daines,Republican,D000618,S2MT00096,412549,311415
Sherrod Brown,Democrat,B000944,S6OH00163,400050,16113495
Shelley Capito,Republican,C001047,S4WV00159,400061,6023145
Sheldon Whitehouse,Democrat,W000802,S6RI00221,412247,5508035
Roy Blunt,Republican,B000575,S0MO00183,400034,17490417
Ronald Harold Johnson,Republican,J000293,S0WI00197,412496,13348433
Ron Wyden,Democrat,W000779,S6OR00110,300100,12671662
Roger Wicker,Republican,W000437,S8MS00196,400432,4635193
Robert Men�ndez,Democrat,M000639,S6NJ00289,400272,16125129
Robert Casey,Democrat,C001070,S6PA00217,412246,13655279
Rob Portman,Republican,P000449,S0OH00133,400325,24994376
Richard Shelby,Republican,S000320,S6AL00013,300089,6564229
Richard Durbin,Democrat,D000563,S6IL00151,300038,8153861
Richard Burr,Republican,B001135,S4NC00089,400054,12676055
Richard Blumenthal,Democrat,B001277,S0CT00177,412490,9265434
Rand Paul,Republican,P000603,S0KY00156,412492,9120500
Rafael Edward Ted Cruz,Republican,C001098,S2TX00312,412573,14136433
Patty Murray,Democrat,M001111,S2WA00189,300076,14296809
Patrick Leahy,Democrat,L000174,S4VT00017,300065,4773781
Patrick Joseph Toomey,Republican,T000461,S4PA00121,400408,23188818
Pat Roberts,Republican,R000307,S6KS00080,300083,7987469
Orrin Hatch,Republican,H000338,S6UT00063,300052,11940777
Mr James E Risch,Republican,R000584,S8ID00092,412322,2215307
Mitch Mcconnell,Republican,M000355,S2KY00012,300072,29011314
Mike Lee,Republican,L000577,S0UT00165,412495,4561172
Michael F Bennet,Democrat,B001267,S0CO00211,412330,16958787
Michael Enzi,Republican,E000285,S6WY00126,300041,3343378
Michael Crapo,Republican,C000880,S8ID00027,300030,5724961
Mazie Hirono,Democrat,H001042,S2HI00106,412200,4820763
Martin Heinrich,Democrat,H001046,S2NM00088,412281,5846318
Mark Robert Warner,Democrat,W000805,S6VA00093,412321,15272310
Mark Kirk,Republican,K000360,S0IL00261,400222,19067733
Marion Michael Rounds,Republican,R000605,S4SD00049,412669,5218310
Maria Cantwell,Democrat,C000127,S8WA00194,300018,7173955
Marco Rubio,Republican,R000595,S0FL00338,412491,18338049
Lisa Murkowski,Republican,M001153,S4AK00099,300075,7228077
Lindsey Graham,Republican,G000359,S0SC00149,300047,10204459
Lamar Alexander,Republican,A000360,S2TN00058,300002,6330702
Kirsten Gillibrand,Democrat,G000555,S0NY00410,412223,26926467
Kelly A Ayotte,Republican,A000368,S0NH00235,412493,10475700
Joni K Ernst,Republican,E000295,S4IA00129,412667,2839275
Jon Tester,Democrat,T000464,S6MT00162,412244,11768908
John Thune,Republican,T000250,S2SD00068,400546,10313469
John Reed,Democrat,R000122,S6RI00163,300081,3806210
John Mccain,Republican,M000303,S6AZ00019,300071,11244096
John Isakson,Republican,I000055,S6GA00119,400194,10961357
John Hoeven,Republican,H001061,S0ND00093,412494,5214873
John Cornyn,Republican,C001056,S2TX00106,300027,14838958
John Boozman,Republican,B001236,S0AR00150,400040,4243383
John Barrasso,Republican,B001261,S6WY00068,412251,5789932
Joe Manchin Iii,Democrat,M001183,S0WV00090,412391,9427904
Joe Donnelly,Democrat,D000607,S2IN00091,412205,5429667
Jerry Moran,Republican,M000934,S0KS00091,400284,6742643
Jeffrey Alan Merkley,Democrat,M001176,S8OR00207,412325,6070697
Jefferson Sessions,Republican,S001141,S6AL00195,300088,1649991
Jeff Flake,Republican,F000444,S2AZ00141,400134,8052033
Jeanne Shaheen,Democrat,S001181,S0NH00219,412323,8785073
James Inhofe,Republican,I000024,S4OK00083,300055,4077201
Heidi Heitkamp,Democrat,H001069,S2ND00099,412554,4968569
Harry Reid,Democrat,R000146,S6NV00028,300082,20515849
Elizabeth Warren,Democrat,W000817,S2MA00170,412542,20077198
Edward Markey,Democrat,M000133,S4MA00028,400253,1933
Dianne Feinstein,Democrat,F000062,S0CA00199,300043,8035860
Debra S Fischer,Republican,F000463,S2NE00094,412556,5026386
Debbie Ann Stabenow,Democrat,S000770,S8MI00281,300093,11088591
Dean Heller,Republican,H001041,S2NV00183,412218,8236281
David Vitter,Republican,V000127,S4LA00057,400418,8851400
David Perdue,Republican,P000612,S4GA11285,412666,12012005
Daniel R Coats,Republican,C000542,S0IN00053,402675,4349032
Dan Sullivan,Republican,S001198,S4AK00214,412665,7642600
Cory A Booker,Democrat,B001288,S4NJ00185,412598,17811502
Claire Mccaskill,Democrat,M001170,S6MO00305,412243,15492255
Christopher Murphy,Democrat,M001169,S2CT00132,412194,9159134
Christopher A Coons,Democrat,C001088,S0DE00092,412390,9024192
Charles Schumer,Democrat,S000148,S8NY00082,300087,29733088
Charles Grassley,Republican,G000386,S0IA00028,300048,7408804
Brian Emanuel Schatz,Democrat,S001194,S4HI00136,412507,7110285
Bob Corker,Republican,C001071,S6TN00216,412248,11521440
Bill Nelson,Democrat,N000032,S8FL00166,300078,14335446
Bernard Sanders,Independent,S000033,S4VT00033,400357,2586831
Benjamin E Sasse,Republican,S001197,S4NE00090,412671,5399080
Benjamin Cardin,Democrat,C000141,S6MD03177,400064,6536680
Barbara Mikulski,Democrat,M000702,S6MD00140,300073,4540708
Barbara Boxer,Democrat,B000711,S2CA00286,300011,13854335
Angus Stanley King Jr,Independent,K000383,S2ME00109,412545,2757205
Amy Klobuchar,Democrat,K000367,S6MN00267,412242,8055280
Al Franken,Democrat,F000457,S8MN00438,412378,10447332
