last_name,first_name,gender,state,district,party,url,address,phone,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,fec_id,fec_id2,fec_id3,total
Wyden,Ron,M,OR,,Democrat,http://www.wyden.senate.gov,221 Dirksen Senate Office Building Washington DC 20510,202-224-5244,RonWyden,,senronwyden,UCsd3UEaoLoqX60P88BdpGGw,W000779,1247,N00007724,S247,1962,300100,27036,Ron Wyden,gIQAfn599O,14871,Ron Wyden,S6OR00110,H0OR03026,,12671662
Wicker,Roger,M,MS,,Republican,http://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,SenatorWicker,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226,N00003280,S318,18203,400432,21926,Roger Wicker,gIQAC9ZCAP,29534,Roger Wicker,S8MS00196,H4MS01078,,4635193
Whitehouse,Sheldon,M,RI,,Democrat,http://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,1823,N00027533,S316,92235,412247,2572,Sheldon Whitehouse,gIQA7KHw9O,40704,Sheldon Whitehouse,S6RI00221,,,5508035
Warren,Elizabeth,F,MA,,Democrat,http://www.warren.senate.gov,317 Hart Senate Office Building Washington DC 20510,202-224-4543,SenWarren,senatorelizabethwarren,senelizabethwarren,UCTH9zV8Imw09J5bOoTR18_A,W000817,2182,N00033492,S366,1023023,412542,141272,Elizabeth Warren,gIQAZHDx9O,41301,Elizabeth Warren,S2MA00170,,,20077198
Warner,Mark,M,VA,,Democrat,http://www.warner.senate.gov,475 Russell Senate Office Building Washington DC 20510,202-224-2023,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,1897,N00002097,S327,7630,412321,535,Mark Warner,gIQAUqPM9O,40909,Mark Warner,S6VA00093,P80003023,,15272310
Vitter,David,M,LA,,Republican,http://www.vitter.senate.gov,516 Hart Senate Office Building Washington DC 20510,202-224-4623,,,SenatorVitter,UCUZnGspUWNGGbK3FTdrciLA,V000127,1609,N00009659,S299,60672,400418,4615,David Vitter,gIQAHam69O,29918,David Vitter,S4LA00057,H0LA01079,,8851400
Udall,Tom,M,NM,,Democrat,http://www.tomudall.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-6621,SenatorTomUdall,senatortomudall,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,U000039,1567,N00006561,S326,10075,400413,22658,Tom Udall,gIQAv2eM9O,29924,Tom Udall,S8NM00184,H8NM03097,,6386672
Toomey,Patrick,M,PA,,Republican,http://www.toomey.senate.gov,248 Russell Senate Office Building Washington DC 20510,202-224-4254,SenToomey,senatortoomey,sentoomey,UCDUM4FFU1p-_YuHqmBglyXw,T000461,2085,N00001489,S351,7958,400408,24096,Pat Toomey,gIQARUpBAP,29935,Pat Toomey,S4PA00121,H8PA15096,,23188818
Tillis,Thom,M,NC,,Republican,http://www.tillis.senate.gov,185 Dirksen Senate Office Building Washington DC 20510,202-224-6342,senthomtillis,SenatorThomTillis,,UCUD9VGV4SSGWjGdbn37Ea2w,T000476,2291,N00035492,S384,0,412668,0,,,0,,S4NC00162,,,9678533
Thune,John,M,SD,,Republican,http://www.thune.senate.gov,511 Dirksen Senate Office Building Washington DC 20510,202-224-2321,SenJohnThune,,johnthune,UCRu6lpRfxhkDGUrKDgQNZYQ,T000250,1534,N00004572,S303,45552,400546,398,John Thune,gIQAtDPp9O,29754,John Thune,S2SD00068,H6SD00085,,10313469
