DonorOrganization,RecipientCandidateNameNormalized,Total,bioguide_id,thomas_id,govtrack_id,fec_id,fec_id2,fec_id3
Retired,Elizabeth Warren,4051935,W000817,2182,412542,S2MA00170,,
None,Mark Kirk,3435970,K000360,1647,400222,S0IL00261,H0IL10120,
Self Employed,Elizabeth Warren,3385280,W000817,2182,412542,S2MA00170,,
Pacur, Inc,Ronald Harold Johnson,3196781,J000293,2086,412496,S0WI00197,,
Not Available,Charles Schumer,3177723,S000148,1036,300087,S8NY00082,H0NY16010,
Not Available,Timothy Michael Kaine,3113174,K000384,2176,412582,S2VA00142,,
Not Employed,Sherrod Brown,3059300,B000944,136,400050,S6OH00163,H2OH13033,
Self Employed,David Perdue,2955834,P000612,2286,412666,S4GA11285,,
Not Available,Rob Portman,2833140,P000449,924,400325,S0OH00133,H4OH02032,
Self Employed,Kirsten Gillibrand,2804438,G000555,1866,412223,S0NY00410,H6NY20167,
Not Employed,Cory A Booker,2500805,B001288,2194,412598,S4NJ00185,,
Self Employed,Patrick Joseph Toomey,2459222,T000461,2085,400408,S4PA00121,H8PA15096,
Not Available,Harry Reid,2320760,R000146,952,300082,S6NV00028,,
Self Employed,Barbara Boxer,2282499,B000711,116,300011,S2CA00286,H2CA06028,P80003247
None,David Perdue,2260758,P000612,2286,412666,S4GA11285,,
Not Available,Al Franken,2224839,F000457,1969,412378,S8MN00438,,
Self Employed,Claire Mccaskill,2157906,M001170,1820,412243,S6MO00305,P80005721,
Self Employed,Mitch Mcconnell,2101583,M000355,1395,300072,S2KY00012,,
Not Employed,Kirsten Gillibrand,2077533,G000555,1866,412223,S0NY00410,H6NY20167,
Not Available,Mark Robert Warner,2074629,W000805,1897,412321,S6VA00093,P80003023,
None,John Cornyn,2024897,C001056,1692,300027,S2TX00106,,
Not Available,Bob Corker,1952555,C001071,1825,412248,S6TN00216,S4TN00187,
Self Employed,Rafael Edward Ted Cruz,1914938,C001098,2175,412573,S2TX00312,,
Not Available,Roy Blunt,1883547,B000575,1464,400034,S0MO00183,H6MO07128,
Not Available,Patrick Joseph Toomey,1863639,T000461,2085,400408,S4PA00121,H8PA15096,
Self Employed,Timothy Michael Kaine,1856984,K000384,2176,412582,S2VA00142,,
Retired,Barbara Boxer,1788621,B000711,116,300011,S2CA00286,H2CA06028,P80003247
Not Employed,Richard Blumenthal,1723615,B001277,2076,412490,S0CT00177,,
Not Employed,Patty Murray,1702755,M001111,1409,300076,S2WA00189,,
Not Available,Jeanne Shaheen,1673266,S001181,1901,412323,S0NH00219,,
Self Employed,Harry Reid,1670844,R000146,952,300082,S6NV00028,,
Self Employed,Michael F Bennet,1661142,B001267,1965,412330,S0CO00211,,
Not Available,Robert Men�ndez,1660770,M000639,791,400272,S6NJ00289,H2NJ13075,
Self Employed,Al Franken,1653243,F000457,1969,412378,S8MN00438,,
Self Employed,Charles Schumer,1643708,S000148,1036,300087,S8NY00082,H0NY16010,
Retired,Ronald Harold Johnson,1627422,J000293,2086,412496,S0WI00197,,
Retired,Mitch Mcconnell,1602933,M000355,1395,300072,S2KY00012,,
Retired,John Mccain,1593079,M000303,754,300071,S6AZ00019,P80002801,
Self Employed,Sherrod Brown,1587686,B000944,136,400050,S6OH00163,H2OH13033,
Mcconnell, Mitch Sen,Mitch Mcconnell,1550000,M000355,1395,300072,S2KY00012,,
Not Available,Tammy Baldwin,1549743,B001230,1558,400013,S2WI00219,H8WI00018,
Retired,Thom R Tillis,1480122,T000476,2291,412668,S4NC00162,,
Self Employed,John Cornyn,1467891,C001056,1692,300027,S2TX00106,,
Self Employed,Cory A Booker,1458983,B001288,2194,412598,S4NJ00185,,
Retired,Marco Rubio,1436857,R000595,2084,412491,S0FL00338,,
Not Available,Dan Sullivan,1424877,S001198,2290,412665,S4AK00214,,
Not Available,Jeff Flake,1409403,F000444,1633,400134,S2AZ00141,H0AZ01184,
Self Employed,Marco Rubio,1408928,R000595,2084,412491,S0FL00338,,
Self Employed,Rand Paul,1396116,P000603,2082,412492,S0KY00156,,
Retired,Rand Paul,1387899,P000603,2082,412492,S0KY00156,,
Self Employed,Patty Murray,1367913,M001111,1409,300076,S2WA00189,,
None,Lindsey Graham,1361199,G000359,452,300047,S0SC00149,H4SC03087,
None,Marco Rubio,1334336,R000595,2084,412491,S0FL00338,,
Self Employed,Jon Tester,1331752,T000464,1829,412244,S6MT00162,,
Self Employed,Mark Kirk,1303755,K000360,1647,400222,S0IL00261,H0IL10120,
Homemaker,Mitch Mcconnell,1302847,M000355,1395,300072,S2KY00012,,
Not Employed,Maria Cantwell,1288957,C000127,172,300018,S8WA00194,H2WA01054,
Not Available,Elizabeth Warren,1270055,W000817,2182,412542,S2MA00170,,
Self Employed,Robert Men�ndez,1259788,M000639,791,400272,S6NJ00289,H2NJ13075,
Not Available,Robert Casey,1173104,C001070,1828,412246,S6PA00217,,
Not Available,Rafael Edward Ted Cruz,1167311,C001098,2175,412573,S2TX00312,,
Not Available,Claire Mccaskill,1151309,M001170,1820,412243,S6MO00305,P80005721,
Self Employed,Tammy Baldwin,1096425,B001230,1558,400013,S2WI00219,H8WI00018,
Unknown,Marco Rubio,1092727,R000595,2084,412491,S0FL00338,,
Retired,John Thune,1086946,T000250,1534,400546,S2SD00068,H6SD00085,
Self Employed,Christopher Murphy,1085461,M001169,1837,412194,S2CT00132,H6CT05124,
Self Employed,Bill Nelson,1071776,N000032,859,300078,S8FL00166,,
Unknown,Rafael Edward Ted Cruz,1071699,C001098,2175,412573,S2TX00312,,
Not Available,Kirsten Gillibrand,1056845,G000555,1866,412223,S0NY00410,H6NY20167,
None,Ron Wyden,1047229,W000779,1247,300100,S6OR00110,H0OR03026,
Self Employed,Joe Manchin Iii,1046857,M001183,1983,412391,S0WV00090,,
Not Employed,Tom Udall,1025579,U000039,1567,400413,S8NM00184,H8NM03097,
